Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015
Ecuador ,-,-,-,-,-,7.00,14.00,33.00,-,-,-,320.00,2207.00,8574.00,34107.00,47464.00,48015.00,81358.00,107977.00,11463.00,11068.00,9284.00,10553.00,10871.00,9816.00
Guyana ,-,-,-,-,41.00,95.00,68.00,27.00,-,-,-,193.00,596.00,1131.00,4546.00,38278.00,85886.00,74407.00,70373.00,6441.00,6288.00,5282.00,5564.00,6031.00,5313.00
Paraguay ,-,-,-,-,-,2.00,-,-,-,-,-,36.00,85.00,576.00,1249.00,1486.00,3518.00,6082.00,4623.00,449.00,501.00,454.00,437.00,363.00,353.00
Peru ,-,-,-,-,35.00,127.00,25.00,79.00,-,-,-,460.00,1273.00,5980.00,19783.00,25311.00,49958.00,110117.00,137614.00,14063.00,13836.00,12414.00,12370.00,10450.00,9973.00
Suriname ,-,-,-,-,-,-,-,-,-,-,-,33.00,130.00,299.00,612.00,714.00,1357.00,2285.00,2363.00,202.00,167.00,216.00,170.00,160.00,116.00
Uruguay ,-,-,-,-,-,22.00,4.00,144.00,-,-,-,153.00,754.00,1026.00,4089.00,8416.00,7235.00,6062.00,9827.00,1286.00,1521.00,1348.00,1314.00,1098.00,1023.00
Venezuela ,-,-,-,-,36.00,190.00,248.00,-,-,-,-,1360.00,2182.00,9927.00,20758.00,11007.00,22405.00,35180.00,82087.00,9497.00,9229.00,9464.00,9512.00,8289.00,8985.00
Other South America ,405.00,957.00,1062.00,3569.00,1358.00,96.00,78.00,305.00,15253.00,39938.00,38398.00,2647.00,7.00,17.00,28.00,18.00,2.00, - ,2.00,1.00,2.00, - ,1.00,2.00,3.00
Other America ,1.00,6.00,11.00,56.00,80.00,879.00,5019.00,1406.00,73.00,-,29.00,25.00,25284.00,60140.00,22067.00,603.00,83.00,37.00,19.00,4.00,-, - ,1.00,2.00,1.00
Africa,19.00,66.00,67.00,104.00,458.00,441.00,768.00,432.00,6326.00,8867.00,6362.00,2120.00,6720.00,13016.00,23780.00,71405.00,141987.00,346410.00,759734.00,98246.00,97429.00,103685.00,94589.00,94834.00,98677.00
Egypt ,-,-,-,5.00,8.00,29.00,145.00,51.00,-,-,1063.00,781.00,1613.00,1996.00,5581.00,23543.00,26744.00,44604.00,81564.00,9822.00,9096.00,10172.00,10719.00,12043.00,13907.00
Ethiopia ,-,-,-,-,-,-,-,-,-,-,-,10.00,28.00,302.00,804.00,2588.00,12927.00,40097.00,87207.00,13853.00,13985.00,15400.00,13484.00,12926.00,12566.00
Liberia ,1.00,8.00,5.00,7.00,43.00,52.00,21.00,9.00,-,-,-,35.00,37.00,289.00,841.00,2391.00,6420.00,13587.00,23316.00,2924.00,3117.00,3451.00,3036.00,3681.00,3580.00
Morocco ,-,4.00,1.00,-,-,15.00,12.00,9.00,-,-,-,110.00,1463.00,3293.00,2880.00,1967.00,3471.00,15768.00,40844.00,4847.00,4249.00,3534.00,3202.00,3495.00,3569.00
South Africa ,-,-,-,-,79.00,48.00,23.00,9.00,-,-,-,312.00,1022.00,2278.00,4360.00,10002.00,15505.00,21964.00,32221.00,2705.00,2754.00,2960.00,2693.00,2871.00,3298.00
Other Africa,18.00,54.00,61.00,92.00,328.00,297.00,567.00,354.00,6326.00,8867.00,5299.00,872.00,2557.00,4858.00,9314.00,30914.00,76920.00,210390.00,494582.00,64095.00,64228.00,68168.00,61455.00,59818.00,61757.00
Oceania,2.00,1.00,3.00,110.00,107.00,9094.00,7341.00,3279.00,11677.00,12339.00,9860.00,3240.00,14262.00,11319.00,23659.00,39983.00,41432.00,56800.00,65793.00,5946.00,5825.00,5573.00,6061.00,5980.00,6227.00
Australia 20,2.00,1.00,2.00,104.00,96.00,8933.00,7250.00,3098.00,11191.00,11280.00,8404.00,2260.00,11201.00,8275.00,14986.00,18708.00,16901.00,24288.00,32728.00,3077.00,3062.00,3146.00,3529.00,3582.00,3795.00
New Zealand 20,-,-,-,2.00,6.00,39.00,21.00,12.00,-,-,935.00,790.00,2351.00,1799.00,3775.00,5018.00,6129.00,8600.00,12495.00,1046.00,1006.00,980.00,1027.00,941.00,978.00
Other Oceania,-,-,1.00,4.00,5.00,122.00,70.00,169.00,486.00,1059.00,521.00,190.00,710.00,1245.00,4898.00,16257.00,18402.00,23912.00,20570.00,1823.00,1757.00,1447.00,1505.00,1457.00,1454.00
Not Specified 21,19173.00,83495.00,7196.00,71442.00,15472.00,592.00,778.00,14112.00,33493.00,488.00,930.00,-,135.00,12472.00,119.00,326.00,305406.00,25928.00,211930.00,5814.00,6217.00,9265.00,10127.00,8430.00,10256.00
